frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
0.000000000,192.168.1.6,5.196.64.200,34958,443,,,64,0,40,
0.053453000,5.196.64.200,192.168.1.6,443,34958,,,44,0,40,
0.053503000,192.168.1.6,5.196.64.200,34958,443,,,64,0,32,
0.053779000,192.168.1.6,5.196.64.200,34958,443,,,64,16,32,
0.107055000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
1.224165000,5.196.64.200,192.168.1.6,443,34958,,,44,28,32,
1.224330000,192.168.1.6,5.196.64.200,34958,443,,,64,0,32,
1.225655000,192.168.1.6,5.196.64.200,34958,443,,,64,323,32,
1.279233000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
1.281188000,5.196.64.200,192.168.1.6,443,34958,,,44,24,32,
1.281308000,5.196.64.200,192.168.1.6,443,34958,,,44,1448,32,
1.281318000,192.168.1.6,5.196.64.200,34958,443,,,64,0,32,
1.281672000,192.168.1.6,5.196.64.200,34958,443,,,64,28,32,
1.334068000,5.196.64.200,192.168.1.6,443,34958,,,44,892,32,
1.374716000,192.168.1.6,5.196.64.200,34958,443,,,64,0,32,
1.378106000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
1.378120000,192.168.1.6,5.196.64.200,34958,443,,,64,584,32,
1.443460000,192.168.1.4,172.19.0.2,,,62910,53,128,,,48
1.647584000,192.168.1.6,5.196.64.200,34958,443,,,64,584,32,
1.701334000,5.196.64.200,192.168.1.6,443,34958,,,44,0,44,
1.742929000,5.196.64.200,192.168.1.6,443,34958,,,44,251,32,
1.742978000,192.168.1.6,5.196.64.200,34958,443,,,64,0,44,
1.796994000,5.196.64.200,192.168.1.6,443,34958,,,44,186,32,
1.797154000,192.168.1.6,5.196.64.200,34958,443,,,64,0,32,
1.798852000,192.168.1.6,5.196.64.200,34958,443,,,64,36,32,
1.852055000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
1.852077000,192.168.1.6,5.196.64.200,34958,443,,,64,36,32,
1.905549000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
3.059738000,192.168.1.6,5.196.64.200,34958,443,,,64,75,32,
3.113085000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
3.667634000,5.196.64.200,192.168.1.6,443,34958,,,44,251,32,
3.668304000,192.168.1.6,5.196.64.200,34958,443,,,64,36,32,
3.722679000,5.196.64.200,192.168.1.6,443,34958,,,44,257,32,
3.762890000,192.168.1.6,5.196.64.200,34958,443,,,64,0,32,
3.780866000,192.168.1.6,5.196.64.200,34958,443,,,64,36,32,
3.873995000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
3.874012000,192.168.1.6,5.196.64.200,34958,443,,,64,75,32,
3.927499000,5.196.64.200,192.168.1.6,443,34958,,,44,0,32,
5.462858000,192.168.1.4,172.19.0.2,,,62417,53,128,,,48
5.463507000,192.168.1.4,173.243.143.6,50575,443,,,128,0,32,
5.496637000,192.168.1.4,172.19.0.2,,,62417,53,128,,,48
5.587445000,173.243.143.6,192.168.1.4,443,50575,,,45,0,24,
5.587446000,192.168.1.4,173.243.143.6,50575,443,,,128,0,20,
5.587942000,192.168.1.4,173.243.143.6,50575,443,,,128,312,20,
5.966618000,192.168.1.4,173.243.143.6,50575,443,,,128,312,20,
6.096376000,173.243.143.6,192.168.1.4,443,50575,,,45,0,20,
6.511104000,192.168.1.4,172.19.0.2,,,62417,53,128,,,48
6.546058000,173.243.143.6,192.168.1.4,443,50575,,,45,1460,20,
6.546130000,173.243.143.6,192.168.1.4,443,50575,,,45,922,20,
6.546130000,192.168.1.4,173.243.143.6,50575,443,,,128,0,20,
6.546130000,192.168.1.4,173.243.143.6,50575,443,,,128,0,20,
6.546130000,192.168.1.4,173.243.143.6,50575,443,,,128,0,20,
6.546130000,173.243.143.6,192.168.1.4,443,50575,,,45,2920,20,
6.560377000,192.168.1.4,173.243.143.6,50575,443,,,128,2335,20,
6.686293000,173.243.143.6,192.168.1.4,443,50575,,,45,0,20,
6.686294000,173.243.143.6,192.168.1.4,443,50575,,,45,0,20,
6.686294000,173.243.143.6,192.168.1.4,443,50575,,,45,1202,20,
