frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
0.000000000,192.168.1.6,79.137.194.105,33098,50001,,,64,73,32,
0.000472000,192.168.1.6,79.137.194.105,33084,50001,,,64,73,32,
0.048856000,79.137.194.105,192.168.1.6,50001,33084,,,47,0,32,
0.055337000,79.137.194.105,192.168.1.6,50001,33084,,,47,73,32,
0.059826000,79.137.194.105,192.168.1.6,50001,33098,,,45,73,32,
0.059833000,192.168.1.6,79.137.194.105,33098,50001,,,64,0,32,
0.100102000,192.168.1.6,79.137.194.105,33084,50001,,,64,0,32,
0.989252000,192.168.1.6,79.137.194.105,55244,50001,,,64,1408,32,
1.021156000,192.168.1.6,79.137.194.105,55244,50001,,,64,1409,32,
1.038595000,79.137.194.105,192.168.1.6,50001,55244,,,47,0,32,
1.061374000,79.137.194.105,192.168.1.6,50001,55244,,,47,493,32,
1.061397000,192.168.1.6,79.137.194.105,55244,50001,,,64,0,32,
1.061660000,79.137.194.105,192.168.1.6,50001,55244,,,47,65,32,
1.061664000,192.168.1.6,79.137.194.105,55244,50001,,,64,0,32,
1.070305000,79.137.194.105,192.168.1.6,50001,55244,,,47,0,32,
1.092017000,79.137.194.105,192.168.1.6,50001,55244,,,47,523,32,
1.092032000,192.168.1.6,79.137.194.105,55244,50001,,,64,0,32,
1.807623000,192.168.1.4,239.255.255.250,,,55976,1900,4,,,145
2.007658000,192.168.1.4,64.233.162.95,,,57986,443,128,,,37
2.034387000,64.233.162.95,192.168.1.4,,,443,57986,58,,,33
4.596582000,192.168.1.4,64.233.161.101,,,58621,443,128,,,1254
4.596582000,192.168.1.4,64.233.161.101,,,58621,443,128,,,1258
4.596582000,192.168.1.4,64.233.161.101,,,58621,443,128,,,740
4.617025000,64.233.161.101,192.168.1.4,,,443,58621,57,,,35
4.624218000,64.233.161.101,192.168.1.4,,,443,58621,57,,,686
4.624414000,64.233.161.101,192.168.1.4,,,443,58621,57,,,229
4.624414000,192.168.1.4,64.233.161.101,,,58621,443,128,,,43
4.656123000,192.168.1.4,64.233.161.101,,,58621,443,128,,,40
4.669495000,64.233.161.101,192.168.1.4,,,443,58621,57,,,32
4.675769000,64.233.161.101,192.168.1.4,,,443,58621,57,,,30
4.676007000,192.168.1.4,64.233.161.101,,,58621,443,128,,,41
4.817889000,192.168.1.4,239.255.255.250,,,55976,1900,4,,,145
4.964431000,192.168.1.6,79.137.194.105,33082,50001,,,64,2576,32,
4.964545000,192.168.1.6,79.137.194.105,33082,50001,,,64,2576,32,
4.964590000,192.168.1.6,79.137.194.105,33082,50001,,,64,2075,32,
5.012757000,79.137.194.105,192.168.1.6,50001,33082,,,48,0,32,
5.012757000,79.137.194.105,192.168.1.6,50001,33082,,,48,0,32,
